Mes;Día;Hora;P2.0TD,0m,d,h;P3.0TD,0m,d,h;P3.0TDVE,0m,d,h;Demanda de Referencia 2023 (MW)
1;8;24;0.000151410651;0.000084361899;0.000087497679;27,319
1;9;1;0.000123253364;0.000079182362;0.000073048335;25,784
1;9;2;0.000101313531;0.000076445198;0.000056170985;23,929
1;9;3;0.000089333198;0.000075115092;0.000054433881;22,881
1;9;4;0.000083319683;0.000075005035;0.000041286971;22,434
1;9;5;0.000081379072;0.000075495566;0.000044145838;22,496
1;9;6;0.000084255712;0.000078787323;0.000036475963;23,341
1;9;7;0.000096517125;0.000091274656;0.000032224219;26,437
1;9;8;0.000123636538;0.000118656235;0.000051247392;31,084
1;9;9;0.000137085285;0.000156133432;0.000080566371;34,054
1;9;10;0.000143433403;0.000179039337;0.000130030502;35,351
1;9;11;0.000151652438;0.000187196497;0.000183280287;36,060
1;9;12;0.000151502459;0.000185710104;0.000200885565;35,964
1;9;13;0.000150662955;0.000182666446;0.000217030242;35,630
1;9;14;0.000158268409;0.000170528461;0.000165894790;35,570
1;9;15;0.000160902155;0.000149121054;0.000178179834;34,734
1;9;16;0.000153132490;0.000141535833;0.000186246780;34,004
1;9;17;0.000146836921;0.000141700181;0.000177793116;33,636
1;9;18;0.000149664387;0.000142425084;0.000177631785;33,740
1;9;19;0.000169446820;0.000149553625;0.000197456002;35,229
1;9;20;0.000192004412;0.000144329452;0.000218826875;36,704
1;9;21;0.000208165118;0.000128500095;0.000232193566;37,220
1;9;22;0.000209832104;0.000110907245;0.000179442438;36,250
1;9;23;0.000190022638;0.000096116297;0.000138372012;33,254
1;9;24;0.000155808074;0.000086744551;0.000113919686;29,989
1;10;1;0.000125441397;0.000087324578;0.000064064910;27,694
1;10;2;0.000102277207;0.000084111602;0.000043338642;25,688
1;10;3;0.000089982703;0.000082643989;0.000031961450;24,500
1;10;4;0.000084028281;0.000082235445;0.000027525979;23,999
1;10;5;0.000082163520;0.000082617577;0.000026403659;23,928
1;10;6;0.000085175910;0.000086199941;0.000025309469;24,610
1;10;7;0.000097953778;0.000099094206;0.000025632652;27,362
1;10;8;0.000126176485;0.000128066658;0.000036631629;31,910
1;10;9;0.000140328635;0.000168515592;0.000060865230;34,818
1;10;10;0.000145629189;0.000191990242;0.000103395813;36,028
1;10;11;0.000152927216;0.000200220540;0.000139983306;36,598
1;10;12;0.000151844942;0.000198898465;0.000153848495;36,425
1;10;13;0.000150646921;0.000195823290;0.000146119284;36,048
1;10;14;0.000158003903;0.000183056573;0.000161040180;35,875
1;10;15;0.000160169188;0.000160388111;0.000142158609;34,922
1;10;16;0.000153155874;0.000152252311;0.000150042498;34,257
1;10;17;0.000147831498;0.000152017154;0.000143197425;33,964
1;10;18;0.000151250300;0.000154028491;0.000151055364;34,139
1;10;19;0.000170957366;0.000161819425;0.000151169517;35,617
1;10;20;0.000192176144;0.000156221094;0.000162042353;36,951
1;10;21;0.000207498030;0.000140532852;0.000164489688;37,388
1;10;22;0.000209602999;0.000121349185;0.000144972376;36,438
1;10;23;0.000191935304;0.000105002504;0.000121148662;33,615
1;10;24;0.000158685050;0.000094189520;0.000093847924;30,313
1;11;1;0.000125441397;0.000087324578;0.000064064910;27,694
1;11;2;0.000102277207;0.000084111602;0.000043338642;25,688
1;11;3;0.000089982703;0.000082643989;0.000031961450;24,500
1;11;4;0.000084028281;0.000082235445;0.000027525979;23,999
1;11;5;0.000082163520;0.000082617577;0.000026403659;23,928
1;11;6;0.000085175910;0.000086199941;0.000025309469;24,610
1;11;7;0.000097953778;0.000099094206;0.000025632652;27,362
1;11;8;0.000126176485;0.000128066658;0.000036631629;31,910
